title,description,categories
فرهنگ جهانی و سبک پوشش زنان,"در کتاب فرهنگ جهانی و سبک پوشش زنان به بررسی سبک پوشش زنان و تأثیرپذیری آن از فرهنگ جهانی به واسطه‌ی سبک زندگی، سرمایه‌ی فرهنگی و ارتباط جهانی پرداخته شده است. 
هدف از این کار توصیف نوع سبک پوشش زنان در محیط‌های اجتماعی با تأثیرپذیری از فرهنگ جهانی است. فرضیات این تحقیق، شامل بررسی رابطه‌ی هر یک از متغیرهای سبک زندگی، سرمایه‌ی فرهنگی و ارتباط جهانی با سبک پوشش است. این پژوهش صرفاً به ارتباط متغیرها و مفاهیم اجتماعی و جامعه‌شناختی با پدیده‌ی سبک پوشش می‌پردازد و سعی دارد به شیوه‌ای علمی و عاری از هرگونه سوگیری‌های شخصی نتایج شفافی را ارائه می‌دهد. در این پژوهش، روش تحقیق پیمایش، ابزار مورد استفاده پرسش‌نامه و شیوه‌ی نمونه‌گیری به صورت سهمیه‌ای است.",جامعه‌شناسی
انجمن یوزهای شریف,"«انجمن یوزهای شریف» داستان مصوری درباره یوزپلنگ ایرانی، این موجود زیبای در حال انقراض است.
 یک کارگاه راه‌سازی که در روستایی فعالیت می‌کند، با یکی از ماشین‌هایش یک یوزپلنگ را زخمی کرده و برای این که خبر به گوش مسئولین نرسد در صدد سر به نیست کردن حیوان است . در این میان یکی از بچه‌های روستا که موضوع را فهمیده به درد سر می‌افتد.",داستان کودک و نوجوانان
ولایت فقیه جلد سوم؛ ادله اثبات ولایت فقیه و  وظایف و اختیارات ولی فقیه,"مجموعه «ولایت فقیه» نوشته محمود زارعی، با تکیه بر آثار مجتهدانی چون حضرت آیت‌الله خامنه‌ای، امام خمینی، مکارم شیرازی، جوادی آملی، مصباح یزدی، محمدتقی جعفری مجموعه‌ای از مباحث فقهی و دینی شامل مبانی، پیشینه و ادلۀ اثباتِ مباحث به‌هم‌پیوستۀ «ولایت الهیه»، «حکومت اسلامی» در اقوال فقهای شیعه را مطرح نموده است. 
جلد سوم این مجموعه به ادلهٔ اثبات ولایت فقیه و وظایف و اختیارات ولی فقیه پرداخته است.",کلیات اسلام
۱۳ خاطره شیرین از سربازی,"رضا باباخانلو، نویسنده کتاب «۱۳ خاطره شیرین از سربازی»، خودش از آن بچه‌هایی بوده که برای فرار از خدمت سربازی به به هر حیله‌ای متوسل شده‌است از معاینه چشم گرفته تا کم کردن و اضافه کردن وزن و نهایتا خرید سربازی که بی‌نتیجه ماند و او راهی سربازی شد؛ اما به قول خودش بعدها فهمید که از موهبت کف پای صاف برخوردار بوده و خود به خود و بدون دغدغه می‌توانسته از سربازی معاف شود.
باباخانلو بعد از مقدمه کوتاه خود درباره سربازی‌ رفتنش، می‌نویسد: «می‌خوام بدانم چرا با اینکه تمامی ما مردان غیور از کلیهٔ راه‌های پیچاندن این امر مقدس استفاده می‌کنیم، شیرین‌ترین و پایان‌ناپذیرترین خاطراتمان از این دوران است؟ مگر نه اینکه به زور می‌رویم و تصورمان هم این است که اگر این دو سال عمرمان را در خدمت سربازی تلف نمی‌کردیم، حداقل یکی از مهندسان ارشد ناسا می‌شدیم؟ پس دل‌انگیزی این زهر شیرین‌تر از عسل از کجا می‌آید؟»
اگر می خواهید پاسخ این سوالات جالب را پیدا کنید این سیزده خاطره شیرین باباخانلو را از دوره خدمتش در سربازی بخوانید:
آن شب در غذاخوری جشنی برپا بود. جیرهٔ سربازها در حالت عادی معمولاً کمتر از آن است که آدم را سیر کند. همیشه بعد از غذا، عده‌ای جلوی آشپزخانه صف می‌کشند تا غذای بیشتری بگیرند؛ اما آن شب جیرهٔ غذا دو برابر همیشه بود؛ آن هم چه غذایی! لوبیا، نخود، عدسی. بعضی‌ها طبق عادت باز هم جیرهٔ بیشتری می‌خواستند و عجیب این‌که بی‌حرف پیش، ظرفشان پر می‌شد. من معمولاً خیلی پرخور نیستم، اما کنجکاو بودم ببینم دم آشپزخانه چه خبر است. سینی را که برداشتم، محمود فدایی اشاره زد که بنشینم.
غذا بیشتر نگیری‌ها!
چرا؟
مشکوکه! ببین چه خوابی برامون دیدن. غلط نکنم خشم شبه.
خشم شب! بدنم یخ زد. نگاه کردم دیدم سر میزهای دیگر هم زمزمه‌هایی هست. وقتی به سمت آسایشگاه برمی‌گشتیم، دیگر همه داشتند از خشم شب حرف می‌زدند. محمود فدایی که میدان را هموار دیده بود، داشت با آب‌وتاب، جزءبه‌جزء چیزهایی را که در انتظارمان بود تشریح می‌کرد. همه توی دلشان خالی شده بود؛ مخصوصاً آن‌هایی که تا خرخره خورده و سیر و پُر، داد شکم را از نخود و لوبیا ستانده بودند. خدا لعنتت کند محمود فدایی!",داستان کوتاه
ای کاش با تو بودن,"«ای کاش با تو بودن» مجموعه یادداشت‌های حسین درگاهی ذیل ۱۹ عنوان و تلاشی برای معرفت اندکی از واقعه عالم‌گیر و عالم‌سوز کربلاست . 
در فرهنگ الهی و دینی، قیمت هر کسی به اندازه معرفت و فهم اوست. و معرفت به دیدن حاصل می شود و دعا عموماً و زیارت (دیدار)خصوصاً، طلب معرفت است و عرض ارادت به ساحت قدس الهی و اولیای او است و آداب زیارت، آداب عرض ادب است در دیار یار برای دیدار یار.",کلیات اسلام
سه داستان کوتاه برای کوچولوهای عزیز,کوچولوهای عزیز در این کتاب صوتی می‌توانند سه قصه بامزه و شاد را با صدای دلنشین خانم نازنین آذرسا بشنوند.,داستان کودک و نوجوانان
صنعت شادی,"«خوبی و شادی مردم هر کشوری، یا به عبارتی اکثریت مردم آن کشور، معیار خوبی است تا هر آنچه که به آن کشور مربوط می‌شود تعیین گردد.»
«جوزف پریستلی»، مصلح مذهبی و دانشمند انگلیسی.
«صنعت شادی» کتابی در زمینه اقتصاد رفتاری و روان‌شناسی اقتصادی، نوشته ویلیام دیویس، جامعه‌شناس و اقتصاددان سیاسی، درباره یکی از دغدغه‌های انسان امروزی به نام «شادی» است. امروز شادی یک صنعت است که باید آن را در تمام نهادهای جامعه بکاربرد، نظام سیاسی، مدیریت، نظام آموزشی، شرکت‌های تولیدی و واحدهای اقتصادی و هر نهاد کوچک و بزرگی در دنیا به این صنعت نیاز دارد تا به حدکثر بازدهی خود برسد. مدیران شرکت‌ها باید به کمک مشاوران متخصص شادی بیاموزند که چگونه کارکنان خود را خوشحال کنند زیرا رضایت کارکنان از مهم‌ترین عناصر پیشرفت اقتصادی و اجتماعی است. 
کتاب حاضر درباره «شادی» و دانش «شادزیستن» و معیارهای سنجش آن در دنیای مدرن با تاکید بر کاربرد آن در اقتصاد و بازاریابی است. این اثر با بررسی آرای روان‌شناسان و جامعه‌شناسان بزرگ، بخصوص جرمی بنتام، در این زمینه، موضوع شادی را از منظر روان‌شناسی اقتصادی در دنیای امروز، پی‌گیری کرده است.",جامعه‌شناسی
بیمه بدنه اتومبیل: بسته آموزشی و کاربردی بیمه (۴),"«بیمه بدنه اتومبیل»‌ به گردآوری و تالیف لطیف حنیفه‌زاده(-۱۳۴۷) است و از مجموعه کتاب‌های آموزشی در حوزه آشنایی با انواع بیمه است.
این کتاب در سه فصل شامل: کلیات، مسایل مربوط به صدور و ماهیت حقوقی قرارداد بیمه بدنه اتومبیل، مسایل مربوط به خسارت بیمه بدنه اتومبیل تهیه شده است. همچنین به‌منظور رفع نیاز شرکت‌کنندگان در آزمون‌های استخدامی و نمایندگی بیمه سؤالات تستی و تشریحی در خصوص بیمه های بدنه اتومبیل ارایه شده است. مطالب کتاب طوری تالیف و تدوین شده است که نیازهای کارشناسان، کارکنان، نمایندگان و کارگزاران شرکت‌های بیمه را مرتفع نموده و می‌تواند مورد استفاده دانشجویان و علاقه مندان قرار بگیرد.",مدیریت و کسب و کار
۳۱۳ پیام از نهج‌البلاغه,"سید حمیدرضا موسوی در «۳۱۳ پیام از نهج البلاغه» کاری زیبا انجام داده است. او پیام‌های اخلاقی-تربیتی این اثر گرانقدر امیرالمومنین علی (ع) را گردآورده تا گنجینه‌ای اخلاقی را برای عاشقان و شیعیان این امام بزرگوار فراهم کرده باشد:
ناتوان‌ترین مردم کسی است که در دوست‌یابی ناتوان است و از او ناتوان‌تر کسی است که دوستان خود را از دست بدهد.
(نهج البلاغه، حکمت ۱۲)
***
فرصت‌ها چون ابر می‌گذرند، پس فرصت‌های نیک را غنیمت شمارید.
(نهج البلاغه، حکمت ۲۱)
***
به داد مردم رسیدن و آرام کردن مصیبت دیدگان، کفّاره گناهان بزرگ است.
(نهج البلاغه، حکمت ۲۴)
***
ایمان بر چهار پایه استوار است؛ صبر، یقین، عدل، جهاد.
(نهج البلاغه، حکمت ۳۱)
***
آنکه اشتیاق بهشت دارد از شهوت دوری می‌کند و آنکه از آتش جهنم می‌ترسد کار حرام انجام نمی‌دهد.
(نهج البلاغه، حکمت ۳۱)",کلیات اسلام
چه کسی پول مرا برداشت؟,"«چه کسی پول مرا برداشت؟» نوشته رابرت کیوساکی( -۱۹۴۷)، سخنران انگیزشی و آموزگار مهارت‌های کسب و کار است.
در بریده‌ای از کتاب می‌خوانیم:
«وقتی رانندگی می‌کنید ماشین شما، پدال گاز و ترمز و فرمان دارد تا شما کنترل کامل ماشین را داشته باشید. با سرمایه‌گذاری در اوراق بهادار شما، اغلب کنترل سرمایه‌گذاری را کاملاً به غریبه‌ها می‌دهید و امیدوارید آنها بهتر از شما رانندگی کنند. از دست دادن کنترل خیلی خطرناک است ولی اگر ندانید چطور رانندگی کنید بهترین راه، دادن کنترل به دیگران است. برای یک سرمایه‌گذار حرفه‌ای اشکال بزرگ سرمایه‌گذاری در اوراق بهادار این است که سرمایه‌گذار با نداشتن مدیریت فعال، کنترل تجارت را دست سرمایه می‌دهد. به عنوان مثال، اگر من سرمایه‌گذار کوچکی در شرکت مایکروسافت باشم، برایم سخت است به بیل گیتس تذکر بدهم پول زیادی هزینه می‌کند یا من سود بیشتری برای سرمایه‌گذاریم می‌خواهم. ولی من در تجارت شخصیم و در دارایی‌های املاکم می‌توانم این کار را بکنم. من کنترل کامل روی پولی که به دست می‌آورم، هزینه‌هایم، مالیات‌ها و کاری که می‌خواهم با درآمدم انجام دهم، دارم. همچنین کنترل بهتری روی فعالیت‌هایی در تجارتم که صادقانه نیستند خواهم داشت. موضوع دیگری که در اوراق بهادار از کنترل خارج می‌باشد این است که مزیت‌های مالیاتی کمی دارد. یکی از بهترین دلایل داشتن تجارت شخصی یا سرمایه‌گذاری در املاک این است که بخش مالیات عاشق شماست.
به نظر من، تجارت و املاک برای کسانی که مهارت مدیریت آنها را دارند بهترین سرمایه‌گذاری است. بدون مهارت‌های مدیریت، کنترل کار سخت می‌باشد. اگر شخصی مهارت‌های مدیریت نداشته باشد دسته‌های سرمایه‌گذاری تجارت و املاک برایش کابوس هستند.
پس اگر تجارت و املاک مزیت‌های زیادی دارند، چرا بیشتر مردم در اوراق بهادار سرمایه‌گذاری می‌کنند و کنترل آن را از دست می‌دهند؟ به نظر من جواب باز هم در کلمه سادگی می‌باشد. برای میلیون‌ها نفر، دادن کنترل پول به سایرین به جای یادگیری چگونه راندن آن ساده‌تر است.»",مدیریت و کسب و کار
دست درازتر از پا,"«دست درازتر از پا» نوشته سیده مریم خامسی (- ۱۳۷۱) مجموعه‌ای از قطعات ادبی کوتاه و  لطیف این نویسنده است که آنها را به خانواده اش و «هر آن‌که خطی برایش آشنا آمد» تقدیم کرده‌است.  یکی از قطعات این مجموعه با نام « درخت آب‌نبات» را می‌خوانیم: 
«من در این شهر که حتی یک درخت آبنبات هم ندارد به چه چیز دل خوش کنم؟!
اینجا از درخت‌هایش آدم‌هایی آویزانند که کال بر زمین می افتند، تلخند مانند آسمانشان!
خدا رحمت کند پیرمرد را...همیشه می‌گفت باغمان نفرین شده است!...
من هم می‌ترسم از ریشه‌هایی که تنها میوه‌های کال می‌دهند!...
آه ای شهرغریب! آه ای شهرعجیب!...چه در دل زمینت می‌گذرد که میوه‌هایت تماماً کالند؟!»",داستان کوتاه
کارآگاه نلی (۳)؛ زنگ خطر,"نلی راپ دختر جسور و ماجراجویی است که هر بار به همراه سگش (لندن) به یک ماموریت جدید می‌رود. در این ماموریت‌ها نلی با چالش‌ها و معماهایی درباره‌ی اشباح و هیولاها درگیر می‌شود و باید جواب آنها را پیدا کند. «مارتین ویدمارک» این داستان‌ها را در شش جلد نوشته است و در هر یک از این داستان‌ها شخصیت‌های جدیدی به کتاب اضافه می‌شوند. کتاب «کارآگاه نلی ؛ زنگ خطر» جلد «سوم» از این مجموعه است. 
کتاب علاوه بر داستان‌های جذاب و ماجراهای عجیبش، تصویرسازی‌های جذابی دارد که خواندنش را برای کودکان و نوجوانان لذت‌بخش‌تر می‌کند.",داستان کودک و نوجوانان
مادر پنهان من,"«مادر پنهان من»، داستان شگفت‌انگیز گذشت و شفقت است، وقتی جستجوی دختری برای پیدا کردن مادرش، تبدیل به سفری می‌شود. فیلیس ویتسل، نویسنده کتاب، در نوانخانه بزرگ شد و به او گفته بودند مادرش درگذشته است. اما فیلیس هیچ‌وقت باور نکرد که این موضوع حقیقت داشته باشد. او هر شب در دعاهایش از خدا می‌خواست که مراقب مادرش باشد و این امیدش را از دست نمی‌داد که مادرش زنده است و جایی در این دنیا، زندگی می‌کند. مادر فیلیس، بریژیت، زنده بود اما تبدیل به یک الکلی شده بود. فیلیس این کتاب را بر اساس داستان زندگی خود و مادرش نوشته است. 
او هشت سال برای پیدا کردن مادرش جست‌وجو کرد و در نهایت او را در حالی که دچار زوال عقل شده‌بود، در خانه سالمندانی یافت. فیلیس سیزده سال بدون این که بریژیت حتی بداند او دخترش است در کنار مادرش زندگی کرد تا اینکه در سال ۲۰۰۳ مادر بدرود حیات گفت. فیلیس اکنون ۶۱ ساله و مادر سه فرزند‌ و پرستار یک خانه سالمندان است. 
بریده‌ای از داستان:
بعضی اوقات یکشنبه بعد از ظهرها به دیدن کلیسای جامع کاونتری می‌رفتیم، در آن روزها همه‌ی مغازه‌ها بسته بود و یکشنبه‌ها آن‌جا خیلی ساکت بود. دیدن محل تولدم باعث می‌شد که احساس غم و اندوه کنم، اما فقط می‌دانستم که من متولد این شهرم. با این حال دیدن این شهر باعث می‌شد که خودم را به مادر اصلی‌ام نزدیک‌تر احساس کنم.
به خاطر می‌آورم که یک بار پرسیدم آیا می‌توانم شمعی برای بیماران روشن کنم، با این کار می‌خواستم که آن‌ها احساس بهتری پیدا کنند. پدرم لبخند زد و چند سکه به من داد که در صندوق اعانات بیندازم. در این زمان به این فکر می‌کردم که چه‌قدر دلم می‌خواهد وقتی بزرگ شدم پرستار شوم، پدرم مرا برای رسیدن به این آرزو تشویق و ترغیب می‌کرد.
من شمع را روشن کردم و برای مادر اصلی‌ام دعا کردم و از خدا خواستم که از او مراقبت کند. انگار که نوعی ارتباط با مادرم برقرار کرده بودم. حتی در چنین سن پایینی احساس می‌کردم که درک این مسائل سخت است، اما همیشه می‌ترسیدم که او در خطر باشد و به دعاهای من نیاز داشته باشد.",رمان
حکمروایی نوین شهری؛ رویکردها، مفاهیم، مسائل و چالش‌ها (جلد اول),"این کتاب، جلد اول مجموعه‌ای دوجلدی دربارهٔ مدیریت شهر تهران است. «حکمروایی نوین شهری»، مجموعهٔ مقالاتی از اساتید شهرسازی و مطالعات فرهنگی است که در حوزهٔ مدیریت شهری تهران در وزارت‌خانه‌های مرتبط سابقهٔ اشتغال داشته‌اند. بنابراین، مقالات این کتاب، صرفاً مقالاتی آکادمیک نیستند؛ مقالاتی هستند که با واقعیت‌های شهری و شهروندی روز ارتباط بیشتری دارند؛ چراکه تعبیر مدیران و کارگزاران و پژوهش‌گران شهری از مسائل شهری، به‌دلیل برخورد واقعی با آن‌ها، بسیار متفاوت از تعاریف دانشگاهی و مفاهیم صرفاً انتزاعی آن‌ها است. 
در جلد اول این کتاب، مقالاتی با درون‌مایهٔ نقش شهروند در مدیریت شهرداری، راهبردهای جلب مشارکت شهروندان در شکل‌گیری نهادهای اجتماعی و همچنین مقالاتی دربارهٔ درآمد رانتی و گسست شهرداری از اجتماع محلی وجود دارد. همچنین تعدادی مقاله از اساتیدی چون دکتر محمدتقی شیخی و دکتر کیومرث ایران‌دوست هم منتشر شده است.
دکتر علی اصغر محکی، مؤلف این کتاب و گردآورندهٔ مقالات این کتاب است. او چندین سال در مرکز اطلاع‌رسانی ناجا و همچنین شهرداری تهران مشغول به کار بود و در سال ۸۷ هم در روزنامه‌ٔ همشهری به سمت معاونت درآمدند. اکنون استاد پژوهشگاه علوم و فناوری اطلاعات ایران است.",جامعه‌شناسی
شبگردی‌ها,"«شب‌گردی‌ها»ی دیکنز، مجموعه ۸ داستان کوتاه با موضوعاتی است که پیوند نزدیکی با شهر و مردم دارند. ولگردی بچه‌ای گمشده در خیابان، پسر جوانی که در یک محوطه کشتی سازی کار می‌کند و استعدادهای بالقوه زیادی دارد، نوانخانه‌ای که در ‌آن، انسان‌هایی با وضعی نکبت‌بار زندگی می‌کنند، خیابان اکسفورد با تمام ماجراهای تلخ و شیرینش و...:
«نیازی به گفتن نیست که خیابان آکسفورد، پرترددترین خیابان لندن است. اخلاقیون به این شهره هستند که انگشت استهزاء را به سوی آنانی که آن جا خرید می‌کنند دراز می‌کنند و البته از حمایت خوش لباس‌ها هم برخودار هستند. حراجی‌های زیادی در خیابان‌های شرق لندن در جریان است، اجناس بسیاری به قیمت یکصد و یازده رسیده‌اند در حالی که همین هفته گذشته دویست و شش تا قیمت داشتند. خرید و فروش بسیار پر سر و صداست و البته بسیار خشن. اما اگر کسی به سمت غرب قدم بزند، زرق و برق و زیورآلات نوار در هم پیچیده خیابان‌های شرق لندن- با نورهای مصنوعی و پشته‌های ابریشم و سوسوی چراغ کالسکه ها، چنان به نظرش می‌رسد که غروبی ابدی بر ماربل آرچ گسترانیده شده».
به عقیدهٔ جیمز جویس، از شکسپیر به این سو، دیکنز تأثیرگذارترین نویسنده انگلیسی بوده‌است. 
دیکنز نویسنده‌ی عوالم شهر است. دگرگونی‌های شهر، چه اجتماعی، چه اقتصادی و چه فرهنگی در آثار او خیلی خوب توصیف شده‌اند. توصیف یک عمارت یا مکان از زبان او چیزی ورای صفت خشک و خالی است. او به زیر پوست شهر نفوذ می‌کند.",داستان کوتاه
مسعودِ بی‌برگ,"داستان ""مسعودِ بی‌برگ"" یکی از ۲۰ داستان برگزیده‌ای است که از میان نزدیک به ۱۰۰۰ داستان رسیده به دبیرخانه جایزه ادبی بهرام صادقی در مرحله اول برگزیده شده‌اند.",داستان کوتاه
چیدمان فروشگاهی,«چیدمان فروشگاهی» تألیف سیدحجت‌الله بزاززاده و مینا جعفرصابونچی است. در این کتاب، نحوه‌ی چیدمان و آرایش مولکولی اجناس و کالاهای داخل فروشگاه، با درنظر گرفتن شرایط یکسان موقعیت مکانی و اقلام‌فروشی، بیان‌ می‌گردد. این کتاب به صورت اجمالی با ذکر مثال‌های متنوع مخاطب را با اصول چیدمان فروشگاهی آشنا کرده و با تغییر الگوی ذهنی، فصلی جدید در به‌کارگیری از اصول بازاریابی و فروش ارائه می‌کند.,مدیریت و کسب و کار
کارشناس,"«کارشناس» رمانی از ر.ک. نارایان (راسیپورام کریشنا سوامی)، نویسنده هندی اهل مَدرس است. 
نارایان فعالیت ادبی‌اش را با نوشتن داستان کوتاه و هجونامه‌هایی در مجله معروف پانچ شروع کرد. اولین رمانش «سوامی و دیرگان» به توصیه گراهام گرین در سال ۱۹۳۵ در انگلستان چاپ شد و پس از آن دو رمان دیگر به نام های «مهندس» و «اتاق تاریک» منتشرکرد.
بعد از مدتی وقفه در سال ۱۹۴۵ چهارمین رمان خود «معلم انگلیسی» را نوشت و به دنبال آن چند داستان دیگر منتشر کرد که «کارشناس» یکی از آنها است.
داستان تمام رمان‌های نارایان در شهر خیالی «مالگودی» می‌گذرد و گونه اغلب آثارش کمدی و تراژدی باهم است. خو کردن به زندگی عادی و معمولی پس از دست و پا زدن برای پیشرفت، چسبیدن به باورهای قدیمی و گاه خرافی در زندگی امروزی و طنز لطیف و فقدان اعتراض از ویژگی‌های آنها است.
داستان «کارشناس» درباره حسابدار و کارشناسی مالی به نام «مارگایا» است که در شهر مالگودی هند زندگی می‌کند. مارگایا که در امور مربوط به رهن زیرکی و هوشیاری خاصی دارد و در آرزوی ثروت و داشتن اتومبیل می‌سوزد، او با کاهن مخصوص الهۀ لاکشمی مشورت می‌کند و به توصیۀ او دنبال نیلوفر سرخ می‌رود تا آن را بکوبد و در شیر گاوی دودی‌رنگ بریزد تا وضعش روبه‌راه شود. دعاهایش اثر می کنند و او چهل روزه کتابی درباره امور زناشویی می‌نویسد که او را مشهور می‌کند:
«آدم معروفی شده بود. هرگز نمی‌شد چند قدم در خیابان راه برود، و مردم با دهان باز نگاهش نکنند و او را به هم نشان ندهند. حالا دیگر لازم بود که اتومبیلی بخرد، زیرا پیاده‌روی در خیابان مایۀ دردسر بود. آدم‌های رنگ و وارنگ با احترام به او سلام می‌دادند و هنگام عبورش خود را کنار می‌کشیدند. این کارها او را سخت دستپاچه می‌کرد. خرد و کلان سعی کردند با او دوست شوند. هزار جور آدم سر راهش سبز می‌شد و مشکلات خود را شرح می‌داد. یکی کمک می‌خواست تا دخترش را شوهر بدهد، دیگری می‌خواست پسرش را برای تحصیلات عالیه به مدرس بفرستد، سومی کمک می‌خواست تا زمینش را از رهن درآورد یا برای یک وعده دیگر برنج بخرد و غیره و غیره.»
نارایان در این داستان تلاش انسان برای رسیدن به جاه و مقام را در قبال از دست دادن آرامش فردی و در نهایت رجوع او به‌ روش گذشته برای بازگرداندن آرامش فکری و روحی را نشان داده است.",رمان
درخت پرتقال,"«درخت پرتقال» اثر کارلوس فوئنتس، نویسنده نام‌دار مکزیکی در ۴ بخش و داستان نوشته شده است که عبارت‌اند از: «دو کرانه»، «فرزندان فاتح»، «دو نومانسیا» و «دو آمریکا». فوئنتس در داستان «دو کرانه» روایت فتح مکزیک را با هجوم مایاها به اسپانیا به پایان رسانده است.
فوئنتس در این داستان‌ها تاریخ مکزیک و پیوندش با اسپانیا را مطرح کرده است. درخت پرتقال در این کتاب نماد دو ملت اسپانیا و مکزیک دانسته شده‌ و این درخت دورگه با میوه‌ای آبدار و شیرین حاصل تلاقی فرهنگ‌های این دو ملت است. این درخت که میوه‌هایش به درخشش خورشیدند و هسته‌های آن در هر چهار داستان این کتاب ظاهر می‌شوند، همواره امیدبخش و نشان بالندگی این فرهنگ‌ها است و کاشت درخت پرتقال در خاک به معنای معرفی فرهنگ جدید به یک سرزمین است.
مطالعه این کتاب و ارتباط برقرار کردن با آن مستلزم داشتن اطلاعاتی درباره تاریخ چند صد ساله آمریکای شمالی و جنوبی است. آشنایی با کریستف کلمب کاشف آمریکا و ماجراهایش نیز در برقراری ارتباط با این کتاب بی‌تاثیر نخواهد بود.
از دید فوئنتس، تاریخ دست‌نوشته‌ای است که وقتی پاک شود، پُشتش دست‌نوشته دیگری نمایان می‌شود که آن نیز خود پوششی بر چهره روایتی دیگر است. به این ترتیب روایت این نویسنده از تاریخ، نوعی ضد روایت یا نفی روایت است.
این چهار داستان را با صدای گرم منوچهر زنده‌دل بشنوید.",داستان کوتاه
لباس محلی سامر,"«لباس محلی سامر» داستان کوتاهی از گری اسمیت، از مجموعه مطالعه در وقت اضافه است.
زمان تقریبی مطالعه: ۹ دقیقه",داستان کوتاه
هفت خوان موفقیت (جلد اول),"«هفت‌خوان موفقیت (جلد ۱)» داستان‌های کوتاه و شگفت‌انگیز درباره موفقیت از سعید گل‌محمدی (-۱۳۶۳) است. 
تغییر درونی:
زنی مهربان و پرهیزگار، پسری داشت که اهمیت چندانی به حسن اخلاق و دستورهای پروردگار نمی‌داد. خواهش‌ها و هشدارهای مادر هم تغییری در خلقیات ناخوشایند او به‌وجود نیاورده بود. به همین دلیل وقتی پسر تصمیم گرفت که سفری زیارتی به چشمه‌های مقدس بکند، زن بسیار متعجب شد. شاید هم این سفر، موقعیتی مناسب برای فرار از نظارت‌های مادر بود. پسر گمان می‌کرد که گوشه‌ای از دنیا را خواهد دید و اگر حمام کردن در آب مقدس گناهان او را بشوید، منفعت بزرگی هم کرده است. مادرش به او گفت: «پسرم، تو با این سفر زیارتی به رستگاری نخواهی رسید. البته چنین سفرهایی بسیار جالب‌اند، اما اگر عقیده‌ای درونی به آن‌ها نداشته باشی، ارزشی جز پول خرج کردن نخواهد داشت، چراکه حتی اگر در تمام چشمه‌های مقدس هم حمام کنی، تا زمانی‌که عقاید و تصورات خود را در مقابل فرمان‌های خداوند و انسان‌ها تغییر ندهی، نمی‌تواند آلودگی گناهان و اشتباهات تو را بشوید.»
اما پسر مثل همیشه به این هشدارها گوش نکرد و مادر نتوانست او را از تصمیم خود منصرف کند. هنگام خداحافظی، مادر کدویی غیرقابل خوردن به پسر داد و از او قول گرفت کدوی کوچک را همراه خود به داخل تمام آب‌های مقدسی ببرد که در آن‌ها حمام می‌کند.
به‌نظر پسر، این درخواستی ناچیز بود و قول داد به عهد خود وفا کند. به‌راستی هم بر سر عهد خود ماند و هر بار کدوی کوچک را همراه خود به داخل چشمه‌ی مقدس برد. پس از چند هفته با طلسم‌های متعدد، نزد مادر خود بازگشت و برای او تعریف کرد که کجا بوده و کدام ماجراها را با موفقیت پشت سر گذاشته است. این را هم گفت که هر بار هنگام شستشو در چشمه‌های مقدس، کدو را با ریسمانی به گردن خود آویزان کرده است. مادر گفت: «باید گرسنه و خسته باشی. کمی استراحت کن تا غذایی برایت آماده کنم.»
سپس کدو را برداشت و با آن غذایی درست کرد و نزد پسر خود برد...",داستان کوتاه
شوهرت را بازنشسته کن,"«شوهرت را بازنشسته کن» نوشته کامی دمپسی و دنیس والش، کتابی با موضوع بازاریابی شبکه‌ای است که به شما می‌آموزد چه‌طور از دیگر رقبا هوشیارانه‌تر عمل کنید و کاری را شروع کنید که در حالی که با افرادی که دوست دارید تفریح می‌کنید و خوش می‌گذرانید، درآمد هم داشته باشید. 
در بخشی از این کتاب می‌خوانید:
از وقتی دخترکوچکی بودم، عاشق کمک کردن به مردم بودم. می‌دانم کلیشه‌ای است ولی باید بگویم که گذشته‌ی من این موضوع را ثابت می‌کند. از گروه‌های مذهبی گرفته تا کمپ‌های تابستانی و کارهای اجتماعی، فکر می‌کنم تا زمانی که فارغ‌التحصیل بشوم، همه کاری را تجربه کردم. به‌زودی متوجه خواهید شد که در آخر، کاری را دنبال کردم که اصلاً قرار نبود و انتظار نمی‌رفت، کاری که عاشقش بودم.
وقتی کتاب را به دست گرفتید، احتمالاً به این فکر می‌کردید که «همسر خود را بازنشسته کنید» یعنی چه، لپ مطلب این‌که: همسر خود را بازنشسته کنید یعنی آزادی، آزادی خود، همسر و خانواده‌تان. یعنی انتخاب راه‌هایی به‌جز قربانی شدن، یعنی وقت بیشتر برای بچه‌ها و آن‌چه که به آن اشتیاق دارید، یعنی کسب درآمد، یعنی چه کاری بکنید و چه کاری نکنید. در واقع، معنی بازنشسته کردن همسر همان چیزی است که می‌خواهید. چون موضوع اصلی، برنامه‌ریزی زندگی و به فعل در آوردن آن است.",مدیریت و کسب و کار
